amount,address
357202076, terra10facy7vmjc64uf5gqfvxzwgj5knvylw5k9uv7g
0, terra10fdu765djphhzu4a32ja94pxmawtcnma6jn9xs
119345945, terra10fj6wl2rarupyxj9n8u5sex20te69e32nn266q
0, terra10fkusypde5uru2ay2aqtdjrhujkuvxzphxcmpd
18473222, terra10fmme59g52n7tg22naaj42fpcwuf00gk4f6ney
36946445, terra10fvpc2n4z35s9yauh6h7emdx6vwejx7vj2j0v2
5665948, terra10fxp7pkyhpn3rx8kyxe8hxchwlmt5tx9d77p2r
18454238, terra10fz6dnqnhkpnpxy9s289jaqghrr842534ftf6r
0, terra10fzu3tvv2e948h9tv3p5k67zmg4jy5ryds6rcj
0, terra10g9ugy9nyj0sjghwvyfrhy73adunflfs34nzrl
78391279, terra10gd60hv9wtu9pl5x78psme804zazzmsckknwuq
149736840, terra10gkcsphgk4a4d97f9v6znr7zqcmrycq4rwzyr6
0, terra10gkz5g2n6ldhgng4j202w9n2up03h3wx26fhgu
38771641, terra10glq36880mrj5u77g2a207gcmh759pzdn367n0
0, terra10gq0mqfqw8xrled0jkhj775fwtxpuq2u99v6yt
52868774, terra10h4dqysd7c6v207cxh5d3nd4r7hgf9r2al686r
163254526, terra10h6q6unjxngdxx6tadtwhzstvax80v6lxelyvf
895814036, terra10h6qh5h6f5raz7hxzjykc2pcgmu29wkz4gnnex
18473168, terra10h6s94fh24tantsqknrgz6h9l0q7xqf32w4uzt
50379616, terra10hap3thww7wcuanufsuute5aa9qte2jac05833
18468765, terra10he48dzzuk8slgfyf48wqyd57n7vss2qkdfsvd
5074207, terra10hgjpaqpf5er90rd2cqktvjav555hpeljg5t2e
0, terra10hjy6plspq9fjtvkpnafns3shfvrxvald87grn
0, terra10hkknawlup2mv9sus6lkd7r94xuy438kuxqpr3
0, terra10hryzctz898clsrm802kknyj4l6kayuaelr0lu
18461608, terra10hugxd42dhrcpjqct7c4cprnm4d6qdghvsxtk4
0, terra10hx5lclwxhwvr7m8wmpe5z9m7d6vxd8dypf8s0
18534571, terra10j4ehj3d9c3lnpdlsmm65sp7et2xfwqngxnpmn
0, terra10j6ffumvahu0g0p055x6v5w462knm93csax7hs
130779491, terra10j6ml4p36srdfzdf4zys389fvrm0qrfnsmkxz5
300946783, terra10j75g4txpjgh86v6lnjtgqp8la7a6czv30x4ku
0, terra10jalfly9xtd3e67xpjmyga5yek7dsxvpxeslrq
0, terra10jhal9rpn42nmfttc90zt8g979hzh2rfp5jyku
18656491, terra10jrq4ttt5d8ph70ukntqr0djgnuc5rkm7nd02c
18472928, terra10jrusp7c0ky0f89v5c75d2y0h79p0ws4su2dfy
3742973, terra10juzyfcaryhzacvxjpxftt9ej0ku9ypplggeck
0, terra10k2ck4rfz68kyawdrafsr3tx44wza9sve5mfvv
0, terra10k2m6kw2fg0dku6y3a585fnwpsfjdh3cgkqw8z
107031311, terra10k5ahn3ewcctr5xu0t6v5gt3pdvqzsv6wfrfvm
799613016, terra10kcnn9vsqwv84sk7rqvl02wnazjnemcwzklu6x
0, terra10kf4gaxd9ddqnmvv6a8ja5l4x6whm557s5u722
0, terra10kj6r0c77w49qjje5hk4zqv5luemhza74yekns
9631744, terra10kp5m8k98u7jza8959dz9eak4yukc5gphudxf3
18472910, terra10kr5sfk3gy88pv6705ud84y8ahpgk2y4mum66v
0, terra10ktchl60gk4f3gxktpgert3qdt9696ty9jsl5n
0, terra10kwjcuc2ndmr754dfe0t3q3jtuplxn5n2w72xm
0, terra10kzrh5d99q2xsl4ueas84ndzlvz48pfjxv58x5
18473199, terra10l8ujv06hh6v2dptujxn859djrl0j0fpj4xt33
0, terra10la3a9cn0t0p6cv9xyuc93fcy58u3c2l46srvr
2611307143, terra10latqlq6x2925tl22r0lfxjt5pjg0zuvndqnas
1000000, terra10ldwt3gl5qs9a2ltkz3fmz50cgg5vyva9euvkt
199984319, terra10lyqn869ehc2ftl9m7zgerf85te4j6l23pktft
0, terra10lywjh9z9acz3ts4uewdndkzw3jza0fj2a8yzr
0, terra10mgsl3fl0v9pshak2wlyy5nrsmzewvv69662ss
18527924, terra10mgvscqnswz6zu8aex6jra2mf0el73ng7p2d72
0, terra10mlyh4ygfrr0ltp93s9jrjlxqfkw4q8snzxv28
46685735, terra10mqg60dsdj6mgys23fj5ulyx4xh4yf3e7gjc4a
13949174367, terra10mr6vr5yl8nkr93yl7x2wrdng6sxj4jgcvwnz0
0, terra10msyhw0mqp398047rrur2upmk8l8aknc8n85sc
0, terra10mx52q9ugplaq03xhvk5gyjndutzqjkdgpgr68
18469315, terra10mxa5vampfwv6g6sw393xmvwwrk2kulecct920
0, terra10n2ayqhw9f0gmf0guu32860lu6jl3vn9vmv3fm
54672725, terra10n98sn5l00ahcda0sxsyzw92nyd39hd86w8cyw
0, terra10ne94ac6dy45dgkllv6kpp5ywqj6vkaac6qrj5
142842385, terra10ngtux4mu5yfcam4crtyph89juv99y5u6e6e40
0, terra10nh4tppf3arx25q2ys50ehl886he8wn0r884q3
17352113, terra10nl3rjvr8rmezdauvsn50zfpjlhknrev9dg0nj
32893970, terra10nn30qwtd3d9djqc7z332jrel8dqe937065f7y
0, terra10nqyv6cpm68f8wj4qeu5d6g6j85449at250g2x
5000000000, terra10nu2a4qvy045jj4gy2tn2z49pnt3vw0qw8tats
0, terra10nwefn6ggsds6gseygfnhfn3mpw9mt3cefh2ch
0, terra10nyr60sgmthczrquyh69fec79eqwfv4re8lsfy
140228475, terra10p2n7hgt6gd7wg6974far3r5u5pfasp4rzfa3g
2805978632, terra10p445q26mv4pzpx7max2we0k3f9z8zrakpx0fn
0, terra10p47kst0frvlwwtpcf5uckurg8myzrf0wqtu5d
185157861, terra10p7drrhhnuwt2nhux700sn0n6mcm37dfeua227
0, terra10p7tj0xjkjrgw8pu4unw06dzasmwr9tm43gjlu
0, terra10pd5nteuu39snh5nrz0lysstk9jlz854r9q6z7
0, terra10phwf9jde4w27na60jn5mtznrc8vq5v5aycryt
0, terra10pppxla8t20jylgeezxeg67pyf5qgqvf9c9lkg
0, terra10pqjjyxnttmlzaladgzvghewm2pec9k82dl8jz
269338034, terra10prjnq4k98mgn3nzcjmyjs4svtk6gpt9f9t9h3
11364623, terra10pvw46p85z5ectefjxppjyhe09fum7d3td4v9z
89999490, terra10q747sf0pj4nuup7zqh44gf6kunm3q3hcdav2u
67185852, terra10q7dkpk59hpe923hq9s46qraeft428hm3da54e
0, terra10qcn7srfjujm6t0dn5mnzmkpwq6am4tfh7282k
18469927, terra10qdnrxyk4fgfh8xywzf62583m3drun0uazv4tk
0, terra10qh429jqjqcmnc5cm38me74zczekm0km4c0n6a
6048660, terra10qukq2kl7dsy86qw0aydss2xzhv46eq8qna3qx
199587748, terra10qx8lacm28s3q0ezddq6rjl520xjgdqh92g28l
0, terra10r2xa0stm0xguwzasl6wtdcy0g5r440aquut40
8357891, terra10r44mwtaeuauqpa0h0vn7mtz2heycuz652sgce
18468148, terra10r5u388ag8a0ewkshkxhzazjtvm39swt0553kt
27355602, terra10r842v8h9czzlhfg9g070phu6wqtz0s30zpu6u
0, terra10reah606h3zxmv467suplnv7xhglgqfqd09zsh
1005211, terra10rfe2dufwvu7ww4m8kr2yx073pz7q4nrqws3ha
151423570, terra10rqd6gawn57s50z6k28kzzj3u9j787m7eatey8
0, terra10rraxacquw0v6q4tsjgjw7pq9hejxdg8s0uzcc
0, terra10rt5460e6y9e8zhes7zae3e7mm4hyq88tatlgk
3686536258, terra10s3znd04kew6adj050trx5z5z54ahytdaejr3j
0, terra10s7t3nammv6929kwm7uw3z238gjlpuhh7c8txq
86794677, terra10sce4ps9zf69c9al34trsn2qa98a9xgerpafw5
18473199, terra10scprulu6r66v5uvdpnruy26xmq43l8swe7pks
0, terra10shqy0rrj2tda0sznnercywqn90s2rdcumc7n2
3694542011, terra10sk3uclrpz39v28wu8a32c0qjramzppfjze9tg
148333751, terra10snsalpnt7waet8ry37hvp6lw9fy2anv6qsqey
0, terra10sq0mzdf4etteqny8499272u6f4xrnmla90326
632930246, terra10sql3r3f9vqrxekpfmldpau084sdzfnf9l07c8
0, terra10sx49xdgmaxcrry7q47xqscajq7kq0rpuqlmzx
0, terra10t409cy2td0jfnxkd3kh3dsdmmhldgmmcw3fx2
502831019, terra10th5jy3en50280qgae6xlkz97m547zz7kf3yee
2287448617, terra10tk7nj23ddssv4smx2mufgkp78e0z27upax7rw
298364863, terra10tpz4tptd3p6r8vgsjn63wfrrr3ele7qfvthes
0, terra10tv6kn75xt063k8vy37vm7qeud6p70sgq5tcxq
0, terra10txtzyueqyyj7pdywaz9dvzm68zwe3sf8tet3f
18455338, terra10tzfpxcxxpdggzqu6f6l4t30lh9nydf46pyrr7
0, terra10u000auhkf67dzedf65vln5xphv46qggzlk6ga
9846040, terra10u92v94hp405v243s0auzmup7ssytsq4f0qnnt
0, terra10u9g7wmqvw8a3cnueduy59j75kuyat52dap7p5
18455126, terra10ucgd7njyqwh596j5zthe2suhcwhg8xtlcst5l
