TxHash,Block Height,User Address,MARS Claimed,MARS Claimable
7F88F19F72AB7FE5A64134CCF5819E2922265BA9E3B058B1E4D82B9FA220ED4E,7790174,terra18gm9fd0lxsmqf5n2dnn874df4t44wuyfcw99gq,1947731100,0
E61887A04CD5FF5099E5CF16E9F3862DE9079904DA3E6DBC5B1A5A1296B6D14A,7790174,terra10fzu3tvv2e948h9tv3p5k67zmg4jy5ryds6rcj,0,168029033
1FD434B1456B722DFC07CDA7A2444DE3EC11149E0D6AE54E95ACFC900F57DA71,7789870,terra1p33j3k7sp9e39kxrzaukn2txtu9yx33rtdxzfy,0,5860941
0942A7C6C32EE2C8608B109D4E0873BB5C577A70B6D4A4A5D8D17979E2CF920E,7789768,terra17wt593ey5ajyr2g29h8uu52xrzupxs6s6aauq3,0,275612443
8416007468C1A2EF1A4C827F5BCA9689CB22FA76ED6C7A407E95FB9B93F0CFD1,7789614,terra14aqddykks6c8j0lfkk00n2xe4mf65dsssncutc,420390391,0
7E465866027C11346406A6F760A80BF7686A134AAA28784E5A82F7BAA1590E29,7789465,terra1cctg9uvu9e5fgrk8ra5t070plr6m8xyaxflule,200482885,0
CCBC222C4FDB75021AA6F1057C6E094EE4A0D07045927B2D64269AA3D3265C99,7789226,terra1qzdt76qp2krswjqjlasmygxrg2txy8r2uk9c7f,0,18514340
3876945A8F8C5A27A43A9A225A9E7E559C130D226D256E710ABA8F8B5429D499,7789210,terra1ngh50yj9ckntfcea36rux0zu7mph24758ah63w,49486044,0
AA08E9B8C582E05246A0EE4D649C19E4AE1E95453339872BE8BF73546FF80BF7,7788733,terra1zp348fnt3en8jfcvf878t6uu734vd7v6vzrya0,0,155388129
E569ED156D39FBB268CE6B9459E9CB17E8ABC275EE77627477537FA2D3844654,7788537,terra1zfy49qyd46psu2lv5jh7c54ekvf7ctx9zgd9pr,17524614,0
4D5E996AD38D11DC8444883E4C980EE39A0581F976E39D01AAE9FFDC629D497F,7788518,terra1mmqq6h9s2strrkc7jhfdeaxypac8jmve28qv27,770379598,0
280D1C991531D1AC934F71ACD4397C420897AF5EA4840B85E63E53DCEAC6DC5C,7787673,terra18mnvg2s4ef7p0lfvjfwhvahguffeqvt6mhkqfc,0,25342016
1B7518205EE854327380B6AF5F1EB1730164309E96D3E5FFB64ED1C5C0F124D8,7787435,terra17ydkwpzu99qrc2n8xzq67ftdemv6axtu3l6753,0,317541518
900F291C3F91D7529D624FF078390AE4AD29E013FACFE7E44D516ADE226EF748,7786856,terra1j2zaf6scgyz95u7lr7nx95hfwc3kygu8etnxqv,331127379,0
