amount,address
31965389, terra1088jq5ctwxnp64jhujrfp46z3pyfcfld49ef2g
0, terra108aw4xdnw9ks6q6r84dvn7dmt4rcr880c7tahv
0, terra108ctqekvjv3x536rk94rn3pj40ye43327cfxx8
0, terra108dfy67q04dqtxgwuryur2he3ndjp60katpzs5
0, terra108gd96sr64xq2cdu3n4aeuz0fewnlt3gyj0qg4
202969295, terra108hznmlknve0pp4zyvcy5998vkme0zx9nharyc
21835422, terra108j259xepyvdd6fk0tkwxuwfag6pgmqaf02wdq
0, terra108jjfh7pj0vtwqwgk8hkxp6r40hltajn53nsz7
0, terra108khmulynnasux746uk02ymammus3le754ntjg
18473222, terra108m4q8ry8kkx9d9mh60ul0fngmgwhwcd6pnepk
0, terra108ny7wts0uh8fqz5r3xh0qme4ccn56f5mcgxn8
27709833, terra108pdq9pkfulhjjey2437lxprs43gtyqqlrpugf
144300447, terra108qs9hunprrc6dadnk0slcyue6lznc0z4458p4
0, terra108rhr3x28mvex09zta9lv8hxh326cxngpus44k
0, terra108se050c7me7mg7gvgkaktf70f569zdst4rshf
0, terra108tlcptn226jrx7c94dzul5fdvm74ed9r58nrr
1741274, terra108u9syz9r4tp3e76a9sy36lfxlperjlpscme4y
0, terra108ugdr0vmqfthhr80ejw4vwaxx0g3czfeyr77z
108029666, terra108unesc0mumsrmvhuugumle87z79ecehgppqg0
0, terra108vqsntdyex8pf5nmuueud7ajl02cwykcwqdrq
8258623, terra108xt3tj7f7uwx0zqv080qtdv7p8rgd6gj99apd
0, terra108y8w9rd58nm3xcwa3ky3gj98pw9nf2ktf3pxw
18473222, terra108yymkxhz9g44wyry23tywxek42yqw4vxp8n7z
568314, terra108zcj8adqzu8luj5f7atr9jh6w82kxgs2zr7d9
32423677, terra1090428v89m5nq6xqq6e338yajex3d8qns4wyth
0, terra10906xreqy239fzxh5nlv82g9ddjsrkmradg602
380486, terra1092qjsd56h6gj460nk65sqa90qedvqzpxycwhf
0, terra10936pswn9xc5t565fpk2e84kfhuxz8y64l9m50
0, terra1093vkqkxf6fnlwwyqn7x6xpa3u628jv2lg3u9r
667724020, terra1094362khktapdl730kwzdrd34kdue2hk3umrsp
140313925, terra1094zrd2rgualn0spa5texd4wpklgf2crcdhjzm
340463651, terra1096ure356xnw4xm6ujhf4de4l5j3stlpyq8h9u
0, terra1096wph0weshptxlp6rdkue478p9h2d58dl7uw9
13210670, terra1097hd9x9w9ffm2qer5tmugfd6r4g6ku6yapra7
0, terra1098efvh38fm9alxhpy6fn2uwdw82nl6l50u3u5
737997575, terra1098ufeqd4tq0upa899pha26sa75kn5ky03jftv
0, terra109cj7tufqzwpuj8pj54m9s2r6l5lgw8hhx8nhg
0, terra109e4d87djfp2pnem0xhpxgw2ejr70unn985q64
0, terra109f3uq7zm258k53pchq4v22v9qezn3lv2s0dzc
4667, terra109f560f3wahf45aw6tccnpux506q5wtt8psd4a
18473222, terra109fsdd5u2yld88lwsdurr9cfnk30e86z5296vw
56289866, terra109gjjdavqcyjcc8ceptu3ghzdtnwydyjs565ju
115142071, terra109hw7azmd8c55vkufpwyd4q46yruyf225c8xn8
40784512, terra109j0cddy3gj0w84hjh007f5zhjm40www3jn0ce
0, terra109j3nv7gm738ruefsgme68ptp507sga7q8zu6g
0, terra109jq55dt7u04v7r9kw48hd8r0nqaje5kgm7a0y
26096471, terra109jwsydm5qxyeyuedpeykagvll258lt48u402m
0, terra109kh59mrkhzl9grzcd0rkxayky4cpp4hz0xe30
0, terra109kjy26hf5sfn96w3sgt9mqayyl0hfw9kypkfd
0, terra109ktp7sa6mkef45d905ac49g0e8qqxdhny2eyh
0, terra109l67nayrtc7yxmea2chttuze5mquxrnx42sy7
94028782, terra109mj63fu00l7884za5zzdvlg2f2tcr3zk9jc3t
28826244, terra109mjlzrgvtmllphfedm7v8wy7yvgr5e0zkukra
0, terra109mtsz50px7a6ttnst0q6r3m5uj2ptvej0j4c3
